,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
1249,BMW,M2 Competition,2020,25013,Gasoline,7-Speed A/T,Black,Black,False,Yes,55000,2023
1250,Audi,Q4 e-tron Sportback Premium,2023,1156,No,A/T,Blue,Black,False,Yes,54900,2023
1251,BMW,740 i,2016,57939,Gasoline,8-Speed A/T,Gray,Black,False,Yes,27500,2023
1252,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,False,Yes,49999,2023
1253,Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,Gasoline,7-Speed A/T,White,Beige,False,Yes,37000,2023
1254,Honda,S2000 Base,2002,110500,Gasoline,6-Speed M/T,Yellow,Red,False,Yes,27000,2023
1255,Chevrolet,Corvette Base,2000,97500,Gasoline,6-Speed M/T,Yellow,Black,False,Yes,10000,2023
1256,Chevrolet,Colorado Z71,2020,20909,Gasoline,Automatic,Red,Jet Black,False,Yes,35387,2023
1257,Mercedes-Benz,S-Class S 63 AMG,2013,77648,Gasoline,7-Speed A/T,Silver,Black,False,Yes,40000,2023
1258,Bentley,Continental GTC Base,2013,79422,Gasoline,8-Speed A/T,Black,Black,False,Yes,64000,2023
1259,GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850,Gasoline,A/T,Silver,Gray,True,Yes,16900,2023
1260,Audi,SQ5 3.0T Premium,2020,21832,Gasoline,8-Speed A/T,Blue,Black,False,Yes,42000,2023
1261,Toyota,Corolla iM Base,2017,41932,Gasoline,6-Speed M/T,Black,Black,False,Yes,18700,2023
1262,GMC,Yukon XL SLT,2017,110000,Gasoline,A/T,Blue,Black,True,Yes,34999,2023
1263,Toyota,Tundra 1794,2020,67400,Gasoline,A/T,Black,Brown,False,Yes,47500,2023
1264,Subaru,WRX Premium,2017,62662,Gasoline,M/T,Red,Black,True,Yes,24000,2023
1265,Subaru,WRX Base,2015,102000,Gasoline,M/T,White,Black,True,Yes,18000,2023
1266,INFINITI,Q50 Premium,2014,79785,Gasoline,7-Speed A/T,Red,White,True,Yes,16488,2023
1267,Chevrolet,Suburban Premier,2017,166549,Gasoline,6-Speed A/T,White,Beige,True,Yes,24950,2023
1268,Toyota,Sequoia Limited,2006,190656,Gasoline,A/T,Black,Gray,True,Yes,8900,2023
1269,Dodge,Challenger R/T Scat Pack,2016,7928,–,6-Speed M/T,Red,Red,False,Yes,37500,2023
1270,Porsche,Cayenne GTS,2009,135606,Gasoline,Transmission w/Dual Shift Mode,Black,Black,False,Yes,15000,2023
1271,Kia,Telluride S,2023,14700,Gasoline,8-Speed A/T,Blue,Black,False,Yes,39900,2023
1272,Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985,Gasoline,9-Speed A/T,Gray,Black,True,Yes,96000,2023
1273,BMW,Z4 sDrive35is,2014,4200,Gasoline,Transmission w/Dual Shift Mode,White,Red,False,Yes,64995,2023
1274,Subaru,Impreza 2.0i Sport,2017,44000,Gasoline,5-Speed M/T,Red,Black,False,Yes,23500,2023
